Patch, mAP, ACC
8, 0.5373764015392165, 0.5127541110967241
10, 0.53619386950048, 0.5080927100867538
12, 0.5344309825338394, 0.5097112521041046
16, 0.5352768154393626, 0.5069273598342613
20, 0.5199105121820662, 0.4946911821830895
24, 0.5084031281231358, 0.4833613880616341
30, 0.490254455859704, 0.46439207561828305
32, 0.48705236079802783, 0.4645215589796711
40, 0.43851993931556316, 0.426453450731581
48, 0.37771966700294496, 0.3687038715525055
